title,release_date,type,runtime,season_count,episode_count,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,text_input,production_company_is_missing,cast_is_missing,director_is_missing
Jurassic World Rebirth,2025-07-01,movie,134.0,1.0,1.0,"Science Fiction, Adventure, Action",Gareth Edwards,"Scarlett Johansson, Jonathan Bailey, Mahershala Ali, Rupert Friend, Manuel Garcia-Rulfo",US,en,"Universal Pictures, Amblin Entertainment, The Kennedy/Marshall Company","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.","island, secret mission, stranded, dinosaur, capsized ship",0.0,0,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades. Science Fiction, Adventure, Action",0,0,0
Elio,2025-06-18,movie,99.0,1.0,1.0,"Family, Comedy, Adventure, Animation, Science Fiction","Madeline Sharafian, Domee Shi, Adrian Molina","Yonas Kibreab, Zoe Saldaña, Remy Edgerly, Brandon Moon, Brad Garrett",US,en,Pixar,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.","villain, alien, computer animation, social outcast, space adventure, pre-teen, mother son relationship, good versus evil, 3d animation, interspecies friendship, amused, pixar, animated comedy, cgi animation",7.4,9,"Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be. Family, Comedy, Adventure, Animation, Science Fiction",0,0,0
Masameer Junior,2025-06-11,movie,71.0,1.0,1.0,"Animation, Comedy, Adventure, Action",Malik Nejer,"Malik Nejer, Ali Kraiem, Mazroua Almazroua, Mira Sabbagh, Maher Jaber",SA,ar,myrkott™,"After a dire lesson on bad behavior, three unruly six-year-olds embark on a chaotic quest for the ultimate ""good deed"" — unleashing mayhem at every turn.","saudi arabia, adult animation",7.0,4,"After a dire lesson on bad behavior, three unruly six-year-olds embark on a chaotic quest for the ultimate ""good deed"" — unleashing mayhem at every turn. Animation, Comedy, Adventure, Action",0,0,0
Superman,2025-07-09,movie,129.0,1.0,1.0,"Action, Adventure, Science Fiction",James Gunn,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Edi Gathegi, Anthony Carrigan",US,en,"DC Studios, Troll Court Entertainment, The Safran Company","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","hero, superhero, villain, based on comic, aftercreditsstinger, duringcreditsstinger, supervillain, dc universe (dcu)",0.0,0,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent. Action, Adventure, Science Fiction",0,0,0
Diablo,2025-06-13,movie,100.0,1.0,1.0,"Action, Thriller",Ernesto Díaz Espinoza,"Scott Adkins, Marko Zaror, Alanna de la Rosa, Diana Hoyos, Lucho Velasco",US,en,"Green Dog Films, Film Mode Entertainment, Wonder Street, Vault Entertainment, Daro Films, Agora Entertainment","Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.","teen, revenge, thriller, crime",6.65,20,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word. Action, Thriller",0,0,0
F1 The Movie,2025-06-25,movie,156.0,1.0,1.0,"Action, Drama",Joseph Kosinski,"Brad Pitt, Damson Idris, Kerry Condon, Javier Bardem, Kim Bodnia",US,en,"Plan B Entertainment, Jerry Bruckheimer Films, Dawn Apollo Films, Apple Studios, Monolith Pictures",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,"based on true story, rookie, formula one (f1), motorsport, car racing",0.0,0,"Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory. Action, Drama",0,0,0
Trainwreck: The Astroworld Tragedy,2025-06-09,movie,80.0,1.0,1.0,Documentary,Yemi Bamiro,"Travis Scott, Drake, SZA",GB,en,Passion Pictures,"Featuring exclusive interviews with survivors, paramedics and festival staff, this documentary examines the 2021 Astroworld tragedy and its aftermath.","hip-hop, investigation, music festival, houston, texas, disaster, music documentary, teenagers",6.69,21,"Featuring exclusive interviews with survivors, paramedics and festival staff, this documentary examines the 2021 Astroworld tragedy and its aftermath. Documentary",0,0,0
The Fantastic Four: First Steps,2025-07-23,movie,130.0,1.0,1.0,"Science Fiction, Adventure",Matt Shakman,"Pedro Pascal, Vanessa Kirby, Joseph Quinn, Ebon Moss-Bachrach, Ralph Ineson",US,en,"Marvel Studios, Kevin Feige Productions, 20th Century Studios","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","superhero, based on comic, family, alternative reality, marvel cinematic universe (mcu), 1960s, retrofuturism",0.0,0,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer. Science Fiction, Adventure",0,0,0
Mountainhead,2025-06-01,movie,105.0,1.0,1.0,"Drama, Comedy",Jesse Armstrong,"Steve Carell, Jason Schwartzman, Cory Michael Smith, Ramy Youssef, Daniel Oreskes",US,en,"HBO Films, Hot Seat Productions, Project Zeus",A group of billionaire friends get together against the backdrop of a rolling international crisis.,"artificial intelligence (a.i.), snow, billionaire, group of friends, end of world, financial crisis, fake news, absurd, critical, ai",5.392,79,"A group of billionaire friends get together against the backdrop of a rolling international crisis. Drama, Comedy",0,0,0
Broke,2025-06-10,movie,104.0,1.0,1.0,"Western, Drama",Carlyle Eubank,"Wyatt Russell, Auden Thornton, Dennis Quaid, Mary McDonnell, Johnny Berchtold",US,en,"Wild West Picture Show Productions, Hercules Film Fund, Rhea Films, Slow Burn",A bronc rider in denial about his fading rodeo career battles against brain injury and a sudden blizzard while reflecting on how it became so difficult to achieve his dreams.,"neo-western, melodramatic",8.0,5,"A bronc rider in denial about his fading rodeo career battles against brain injury and a sudden blizzard while reflecting on how it became so difficult to achieve his dreams. Western, Drama",0,0,0
Dangerous Animals,2025-06-05,movie,98.0,1.0,1.0,"Horror, Thriller",Sean Byrne,"Hassie Harrison, Jai Courtney, Josh Heuston, Ella Newton, Liam Greinke",US,en,"LD Entertainment, Mister Smith Entertainment, Brouhaha Entertainment, Range Media Partners, Oddfellows Entertainment","A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below.","shark attack, animal attack, serial killer, creature, shark, held captive, survival horror, ritual sacrifice, animal horror, anxious, female surfer, psychological horror, suspenseful, horror",6.7,13,"A savvy and free-spirited surfer is abducted by a shark-obsessed serial killer. Held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below. Horror, Thriller",0,0,0
The Life of Chuck,2025-06-05,movie,110.0,1.0,1.0,"Drama, Fantasy",Mike Flanagan,"Tom Hiddleston, Jacob Tremblay, Benjamin Pajak, Nick Offerman, Chiwetel Ejiofor",US,en,"Intrepid Pictures, Red Room Pictures, QWGmire","In this extraordinary story of an ordinary man, Charles 'Chuck' Krantz experiences the wonder of love, the heartbreak of loss, and the multitudes contained in all of us.","cancer, death, based on short story, reverse chronology",7.708,48,"In this extraordinary story of an ordinary man, Charles 'Chuck' Krantz experiences the wonder of love, the heartbreak of loss, and the multitudes contained in all of us. Drama, Fantasy",0,0,0
Housefull 5A,2025-06-05,movie,163.0,1.0,1.0,"Comedy, Mystery, Thriller",Tarun Mansukhani,"Akshay Kumar, Ritesh Deshmukh, Abhishek Bachchan, Jacqueline Fernandez, Nargis Fakhri",IN,hi,"Nadiadwala Grandson Entertainment, Pen Studios, Apple & Burberry Pictures","A father writes his will — his son ""Jolly"" is going to get it all. But who is Jolly? The comedy unfolds as different people pose as the ""real"" Jolly on a cruise celebrating the father's birthday — where a murder takes place.","sequel, cruise ship, murder mystery, comedy of errors, party",4.8,4,"A father writes his will — his son ""Jolly"" is going to get it all. But who is Jolly? The comedy unfolds as different people pose as the ""real"" Jolly on a cruise celebrating the father's birthday — where a murder takes place. Comedy, Mystery, Thriller",0,0,0
The Conjuring: Last Rites,2025-09-04,movie,138.0,1.0,1.0,Horror,Michael Chaves,"Vera Farmiga, Patrick Wilson, Mia Tomlinson, Ben Hardy, Rebecca Calder",US,en,"New Line Cinema, Atomic Monster, The Safran Company",Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,"supernatural, haunted house, sequel, spirit, paranormal investigation, ghost, 1980s, demonic, supernatural horror, horror, the conjuring universe",0.0,0,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront. Horror,0,0,0
American Thunder: NASCAR to Le Mans,2025-06-11,movie,98.0,1.0,1.0,Documentary,Brad Lockhart,"Jenson Button, Jimmie Johnson, Mike Rockenfeller, Jordan Taylor, Chad Knaus",US,en,NASCAR Studios,NASCAR attempts to fulfill its leader Jim France's childhood dream of racing a stock car in the historic 24-hour race in Le Mans.,"nostalgic, family, psychological",0.0,0,NASCAR attempts to fulfill its leader Jim France's childhood dream of racing a stock car in the historic 24-hour race in Le Mans. Documentary,0,0,0
Thug Life,2025-06-04,movie,165.0,1.0,1.0,"Action, Crime, Drama",Mani Ratnam,"Kamal Haasan, Silambarasan, Trisha Krishnan, Ashok Selvan, Abhirami",IN,ta,"Raajkamal Films International, Madras Talkies, Red Giant Movies","In a world ruled by crime and betrayal, mafia kingpin Sakthivel and his brother Manikkam rescue a young boy, Amaran, during a violent police shootout and raise him as their own. Years later, when an assassination attempt shakes Sakthivel's empire, suspicion turns inward. Consumed by vengeance, Sakthivel sets out to destroy the very family he once built.","father son conflict, waiting for revenge, backstabbing, action, gangster film, modern samurai",4.333,6,"In a world ruled by crime and betrayal, mafia kingpin Sakthivel and his brother Manikkam rescue a young boy, Amaran, during a violent police shootout and raise him as their own. Years later, when an assassination attempt shakes Sakthivel's empire, suspicion turns inward. Consumed by vengeance, Sakthivel sets out to destroy the very family he once built. Action, Crime, Drama",0,0,0
GJLS: Ibuku Ibu-Ibu,2025-06-12,movie,95.0,1.0,1.0,"Comedy, Drama",Monty Tiwa,"Ananta Rispo, Rigen Rakelna, Hifdzi Khoir, Nadya Arina, Bucek Depp",ID,id,"Amadeus Sinemagna, Legacy Pictures, A&Z Films, Role Entertainment, GJLS Entertainment",The togetherness of 3 siblings in thwarting their father's intention to remarry leads to family disintegration and minimal inheritance distribution.,"mother, joke, father, inheritance, boarding house, sibling, brother trio, comical",8.1,5,"The togetherness of 3 siblings in thwarting their father's intention to remarry leads to family disintegration and minimal inheritance distribution. Comedy, Drama",0,0,0
I Know What You Did Last Summer,2025-07-16,movie,115.0,1.0,1.0,"Horror, Thriller, Mystery",Jennifer Kaytin Robinson,"Chase Sui Wonders, Madelyn Cline, Jonah Hauer-King, Tyriq Withers, Sarah Pidgeon",US,en,"Columbia Pictures, Mandalay Pictures, Original Film","When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge. As one by one the friends are stalked by a killer, they discover this has happened before, and they turn to two survivors of the legendary Southport Massacre of 1997 for help.","sequel, murder, slasher, killer, horror, requel, teen scream",0.0,0,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge. As one by one the friends are stalked by a killer, they discover this has happened before, and they turn to two survivors of the legendary Southport Massacre of 1997 for help. Horror, Thriller, Mystery",0,0,0
Eddington,2025-07-16,movie,145.0,1.0,1.0,"Western, Drama, Comedy",Ari Aster,"Joaquin Phoenix, Pedro Pascal, Emma Stone, Austin Butler, Deirdre O'Connell",US,en,"A24, Square Peg, 828 Productions, Access Entertainment, IPR.VC","In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","new mexico, dark comedy, satire, covid-19",0.0,0,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico. Western, Drama, Comedy",0,0,0
Avatar: Fire and Ash,2025-12-17,movie,192.0,1.0,1.0,"Science Fiction, Adventure, Fantasy",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet",US,en,"20th Century Studios, Lightstorm Entertainment","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",sequel,0.0,0,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits. Science Fiction, Adventure, Fantasy",0,0,0
The Bad Guys 2,2025-07-25,movie,104.0,1.0,1.0,"Family, Comedy, Crime, Adventure, Animation",Pierre Perifel,"Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina",US,en,"DreamWorks Animation, Scholastic Entertainment, dentsu, Universal Pictures","The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.","based on novel or book, snake, wolf, spider, villain, sequel, heist, anthropomorphism, framed for a crime",0.0,0,"The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls. Family, Comedy, Crime, Adventure, Animation",0,0,0
Weapons,2025-08-06,movie,128.0,1.0,1.0,"Horror, Mystery",Zach Cregger,"Julia Garner, Josh Brolin, Toby Huss, Alden Ehrenreich, June Diane Raphael",US,en,"Vertigo Entertainment, BoulderLight Pictures, New Line Cinema, Subconscious","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.","witchcraft, missing child, multiple storylines, mysterious disappearance",0.0,0,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance. Horror, Mystery",0,0,0
Smurfs,2025-07-05,movie,92.0,1.0,1.0,"Animation, Family, Fantasy",Chris Miller,"Rihanna, James Corden, Nick Offerman, JP Karliak, Dan Levy",US,en,"Paramount Animation, Marcy Media, Peyo Productions, Cinesite, Paramount Pictures, Domain Entertainment","When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.","musical, portal, based on comic, live action and animation, estranged brother, abduction, fantasy comedy",0.0,0,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe. Animation, Family, Fantasy",0,0,0
Gowok: Javanese Kamasutra,2025-06-05,movie,132.0,1.0,1.0,"Drama, History, Romance, Thriller",Hanung Bramantyo,"Raihaanun, Lola Amaria, Alika Jantinia, Devano Danendra, Reza Rahadian",ID,id,"MVP Pictures, Dapur Film","Set in 1960s Java, a guru plots revenge on her ex-lover by seducing his son during the boy's pre-wedding sexual training.","sexuality, journey, java, indonesia, kamasutra, traditional culture, 20th century, period piece, indonesian history",8.5,3,"Set in 1960s Java, a guru plots revenge on her ex-lover by seducing his son during the boy's pre-wedding sexual training. Drama, History, Romance, Thriller",0,0,0
The Unholy Trinity,2025-06-13,movie,95.0,1.0,1.0,"Western, Adventure, Crime",Richard Gray,"Pierce Brosnan, Samuel L. Jackson, Brandon Lessard, Veronica Ferres, Gianni Capaldi",US,en,"Jaggi Entertainment, High Five Films, Saban Films","Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.","montana, false accusations, 19th century, imminent execution, 1870s, independent film",6.0,2,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher. Western, Adventure, Crime",0,0,0
She's Got No Name,2025-06-14,movie,150.0,1.0,1.0,"Drama, Crime",Peter Chan Ho-Sun,"Zhang Ziyi, Eric Wang, Jackson Yee, Mei Ting, Zhao Liying","CN, HK",zh,"We Pictures, Beijing J.Q. Spring Pictures, Tianjin Maoyan Weiying Culture Media, China Film Group Corporation, 我们壹加影视制作（上海）有限公司, 亿伽亿（上海）文化传媒有限公司, 弘道影业有限公司, Huanxi Media Group, China Movie Channel, Shanghai Media Group, Beijing Radio and Television Station","Set in a bustling alleyway during the Japanese occupation of Shanghai in the 1940s, the film centres on a wife, Zhan Zhou, who was being charged with the bloody dismemberment of her husband – a killing that seems impossible for her to have committed alone. The murder thrusts Zhan into the spotlight and the court of public opinion, forcing her towards a fate intertwined with that of her own country.","prison, china, based on novel or book, wife, suitcase, murder, japanese occupation, female protagonist, orphan, dismemberment, husband, 1940s, japanese occupation of china, ensemble cast, shanghai, crime, murder of husband, jiangyuan lane",0.0,0,"Set in a bustling alleyway during the Japanese occupation of Shanghai in the 1940s, the film centres on a wife, Zhan Zhou, who was being charged with the bloody dismemberment of her husband – a killing that seems impossible for her to have committed alone. The murder thrusts Zhan into the spotlight and the court of public opinion, forcing her towards a fate intertwined with that of her own country. Drama, Crime",0,0,0
Atsuko Okatsuka: Father,2025-06-13,movie,62.0,1.0,1.0,Comedy,unknown,Atsuko Okatsuka,US,en,Above Average,"Fans call her 'Mother,' but Atsuko is 'Father'—thriving professionally yet clueless about basics. A 7-year laundry hiatus and learning that marriage licenses precede weddings are just some hilariously relatable discoveries she shares in her special.","stand-up comedy, tv special",8.0,1,"Fans call her 'Mother,' but Atsuko is 'Father'—thriving professionally yet clueless about basics. A 7-year laundry hiatus and learning that marriage licenses precede weddings are just some hilariously relatable discoveries she shares in her special. Comedy",0,0,1
